Serial No,Movie 1,Movie 2,Movie 3,Movie 4,Movie 5,Movie 6,Movie 7,Movie8,Movie9,Movie10
35,Shawshank Redemption, The (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Streetcar Named Desire, A (1951),Ran (1985),Fight Club (1999),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017)
36,Godfather, The (1972),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Fight Club (1999),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017)
37,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Godfather, The (1972),His Girl Friday (1940),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Hustler, The (1961),Three Billboards Outside Ebbing
38,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Rear Window (1954),His Girl Friday (1940),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017),
39,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),Ran (1985),Double Indemnity (1944),Guess Who's Coming to Dinner (1967),Day of the Doctor, The (2013),Three Billboards Outside Ebbing, Missouri (2017),
40,Schindler's List (1993),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Philadelphia Story, The (1940),Casablanca (1942),Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),,
41,Shawshank Redemption, The (1994),Godfather, The (1972),Philadelphia Story, The (1940),Paths of Glory (1957),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo
42,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Seventh Seal, The (Sjunde inseglet, Det) (1957),Man Bites Dog (C'est arrivé près de chez vous) (1992),Guess Who's Coming to Dinner (1967)
43,Usual Suspects, The (1995),Bottle Rocket (1996),Clerks (1994),Star Wars: Episode IV - A New Hope (1977),Dazed and Confused (1993),Schindler's List (1993),Silence of the Lambs, The (1991),
44,Shawshank Redemption, The (1994),Godfather, The (1972),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Ran (1985),Fight Club (1999),Three Billboards Outside Ebbing
45,Shawshank Redemption, The (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Philadelphia Story, The (1940),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing
46,Godfather, The (1972),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Seventh Seal, The (Sjunde inseglet, Det) (1957)
47,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Secrets & Lies (1996),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),Day of the Doctor, The (2013),
48,Shawshank Redemption, The (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Hustler, The (1961),There Will Be Blood (2007)
49,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Secrets & Lies (1996),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017),
50,Philadelphia Story, The (1940),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),His Girl Friday (1940),Streetcar Named Desire, A (1951),Paths of Glory (1957),Ran (1985),Guess Who's Coming to Dinner (1967),
51,Shawshank Redemption, The (1994),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Little Big Man (1970),Man Bites Dog (C'est arrivé près de chez vous) (1992),Guess Who's Coming to Dinner (1967),Prisoners (2013),Three Billboards Outside Ebbing, Missouri (2017),
52,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Philadelphia Story, The (1940),Secrets & Lies (1996),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017)
53,Toy Story (1995),Heat (1995),Seven (a.k.a. Se7en) (1995),Usual Suspects, The (1995),Bottle Rocket (1996),Braveheart (1995),Clerks (1994),,
54,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),Three Billboards Outside Ebbing, Missouri (2017),
55,Shawshank Redemption, The (1994),His Girl Friday (1940),Lawrence of Arabia (1962),Ran (1985),Life Is Beautiful (La Vita è bella) (1997),Guess Who's Coming to Dinner (1967),There Will Be Blood (2007),,
56,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Godfather, The (1972),Philadelphia Story, The (1940),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Touch of Evil (1958),Three Billboards Outside Ebbing
57,Shawshank Redemption, The (1994),Streetcar Named Desire, A (1951),Paths of Glory (1957),Ran (1985),Seventh Seal, The (Sjunde inseglet, Det) (1957),Guess Who's Coming to Dinner (1967)
58,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Philadelphia Story, The (1940),His Girl Friday (1940),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017)
59,Shawshank Redemption, The (1994),Philadelphia Story, The (1940),His Girl Friday (1940),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing
60,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Ran (1985),Celebration, The (Festen) (1998),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017)
61,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Man Bites Dog (C'est arrivé près de chez vous) (1992),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017),
62,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),Three Billboards Outside Ebbing, Missouri (2017),
63,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Philadelphia Story, The (1940),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017)
64,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Philadelphia Story, The (1940),His Girl Friday (1940),Streetcar Named Desire, A (1951),Paths of Glory (1957),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017)
65,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017),
66,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Godfather, The (1972),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017)
67,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017),
68,His Girl Friday (1940),Secrets & Lies (1996),Streetcar Named Desire, A (1951),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),Day of the Doctor, The (2013),Three Billboards Outside Ebbing, Missouri (2017)
69,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Ran (1985),Seventh Seal, The (Sjunde inseglet, Det) (1957),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing
70,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Philadelphia Story, The (1940),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017)
71,Shawshank Redemption, The (1994),Streetcar Named Desire, A (1951),Matrix, The (1999),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),Day of the Doctor, The (2013)
72,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017),
73,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),Streetcar Named Desire, A (1951),Monty Python and the Holy Grail (1975),Guess Who's Coming to Dinner (1967),Day of the Doctor, The (2013),Three Billboards Outside Ebbing, Missouri (2017)
74,Shawshank Redemption, The (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017)
75,Shawshank Redemption, The (1994),Schindler's List (1993),Godfather, The (1972),Fight Club (1999),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),Three Billboards Outside Ebbing, Missouri (2017)
76,His Girl Friday (1940),Secrets & Lies (1996),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Ran (1985),Celebration, The (Festen) (1998),Three Billboards Outside Ebbing, Missouri (2017)
77,Secrets & Lies (1996),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Once Upon a Time in the West (C'era una volta il West) (1968),Yojimbo (1961),Reign Over Me (2007),Day of the Doctor, The (2013),
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Streetcar Named Desire, A (1951),Paths of Glory (1957),Ran (1985),Touch of Evil (1958),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017),
79,Shawshank Redemption, The (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),There Will Be Blood (2007),
80,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017),
81,Rear Window (1954),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),His Girl Friday (1940),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),,
82,Shawshank Redemption, The (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017)
83,Secrets & Lies (1996),Streetcar Named Desire, A (1951),Fight Club (1999),Yojimbo (1961),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997),
84,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Paths of Glory (1957),Lawrence of Arabia (1962),Fight Club (1999),Guess Who's Coming to Dinner (1967),Hustler, The (1961),Three Billboards Outside Ebbing, Missouri (2017),
85,Pulp Fiction (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Philadelphia Story, The (1940),Princess Bride, The (1987),Lawrence of Arabia (1962),Patton (1970),Grave of the Fireflies (Hotaru no haka) (1988),
86,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017),
87,Shawshank Redemption, The (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Philadelphia Story, The (1940),His Girl Friday (1940),Streetcar Named Desire, A (1951),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing
88,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Godfather, The (1972),Philadelphia Story, The (1940),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing
89,Shawshank Redemption, The (1994),Streetcar Named Desire, A (1951),Paths of Glory (1957),Touch of Evil (1958),Hamlet (1996),Fight Club (1999),Three Billboards Outside Ebbing, Missouri (2017)
90,Pulp Fiction (1994),Shawshank Redemption, The (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),
91,Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),Gallipoli (1981),Day of the Doctor, The (2013),
92,Shawshank Redemption, The (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),Streetcar Named Desire, A (1951),Ran (1985),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017)
93,In the Name of the Father (1993),Philadelphia Story, The (1940),Reservoir Dogs (1992),Goodfellas (1990),Matrix, The (1999),Fight Club (1999),Departed, The (2006)
94,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Godfather, The (1972),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Fight Club (1999),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017)
95,Shawshank Redemption, The (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017)
96,Shawshank Redemption, The (1994),Wallace & Gromit: The Best of Aardman Animation (1996),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Yojimbo (1961),
97,Shawshank Redemption, The (1994),In the Name of the Father (1993),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Fight Club (1999),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017)
98,Shawshank Redemption, The (1994),Schindler's List (1993),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Philadelphia Story, The (1940),Paths of Glory (1957),Fight Club (1999),Guess Who's Coming to Dinner (1967),
99,His Girl Friday (1940),Streetcar Named Desire, A (1951),Monty Python and the Holy Grail (1975),Ran (1985),Guess Who's Coming to Dinner (1967),Kelly's Heroes (1970),Three Billboards Outside Ebbing, Missouri (2017),
100,Shawshank Redemption, The (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017)
101,Shawshank Redemption, The (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Philadelphia Story, The (1940),Streetcar Named Desire, A (1951),Paths of Glory (1957),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing
102,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Philadelphia Story, The (1940),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017)
103,In the Name of the Father (1993),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017),
104,Shawshank Redemption, The (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017)
105,His Girl Friday (1940),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Ran (1985),Touch of Evil (1958),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017),
106,His Girl Friday (1940),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),,
107,Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),Three Billboards Outside Ebbing, Missouri (2017),
108,Shawshank Redemption, The (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),Streetcar Named Desire, A (1951),Ran (1985),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017)
109,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Philadelphia Story, The (1940),His Girl Friday (1940),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017)
110,Shawshank Redemption, The (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Philadelphia Story, The (1940),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Three Billboards Outside Ebbing
111,Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Great Escape, The (1963),Guess Who's Coming to Dinner (1967),Hustler, The (1961),Gladiator (1992),Three Billboards Outside Ebbing, Missouri (2017)
112,Shawshank Redemption, The (1994),Godfather, The (1972),Seventh Seal, The (Sjunde inseglet, Det) (1957),Fight Club (1999),Never Cry Wolf (1983),Guess Who's Coming to Dinner (1967)
113,Shawshank Redemption, The (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),Streetcar Named Desire, A (1951),Fight Club (1999),Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001),Three Billboards Outside Ebbing
114,Shawshank Redemption, The (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Philadelphia Story, The (1940),His Girl Friday (1940),Streetcar Named Desire, A (1951),Boondock Saints, The (2000)
115,Shawshank Redemption, The (1994),Paths of Glory (1957),Ran (1985),Seventh Seal, The (Sjunde inseglet, Det) (1957),Man Bites Dog (C'est arrivé près de chez vous) (1992),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988)
